date,AAPL,MSFT,XOM,BP
2022-09-01,157.96,260.4,93.87,30.59
2022-09-02,155.81,256.06,95.59,31.13
2022-09-06,154.53,253.25,94.95,31.13
2022-09-07,155.96,258.09,94.14,30.67
2022-09-08,154.46,258.52,94.91,30.7
2022-09-09,157.37,264.46,96.5,31.69
2022-09-12,163.43,266.65,97.61,32.13
2022-09-13,153.84,251.99,95.33,31.77
2022-09-14,155.31,252.22,97.67,32.08
2022-09-15,152.37,245.38,94.83,31.5
2022-09-16,150.7,244.74,93.21,31.01
2022-09-19,154.48,244.52,93.2,30.9
2022-09-20,156.9,242.45,92.44,31.0
2022-09-21,153.72,238.95,90.95,30.52
2022-09-22,152.74,240.98,90.57,30.79
2022-09-23,150.43,237.92,85.75,28.08
2022-09-26,150.77,237.45,83.98,27.26
2022-09-27,151.76,236.41,85.74,27.55
2022-09-28,149.84,241.07,88.86,28.56
2022-09-29,142.48,237.5,88.68,28.75
2022-09-30,138.2,232.9,87.31,28.55
